Date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2019/5/13,253,254,249.5,250.5,-5.5,-2.2,29317.535
2019/5/14,247.5,251,245,248.5,-2,-0.8,45620.708
2019/5/15,251,252,249,249,0.5,0.2,37223.479
2019/5/16,248.5,249.5,246,247,-2,-0.81,30331.519
2019/5/17,249,249,241.5,241.5,-5.5,-2.28,40006.856
2019/5/20,242.5,243,238,238,-3.5,-1.47,47097.661
2019/5/21,233.5,236,232.5,234,-4,-1.71,82872.775
2019/5/22,236.5,240.5,235.5,238,4,1.68,36289.034
2019/5/23,233.5,233.5,230,230,-8,-3.48,62258.627
2019/5/24,230,234,230,233,3,1.29,38226.789
2019/5/27,234,235,231,231,-2,-0.87,37447.033
2019/5/28,232,232,230.5,230.5,-0.5,-0.22,99322.033
2019/5/29,228,230.5,227,229.5,-1,-0.44,32260.236
2019/5/30,230,231.5,229,231,1.5,0.65,40375.328
2019/5/31,232,237.5,231,235.5,4.5,1.91,49163.217
2019/6/3,235.5,238.5,232,238,2.5,1.05,36687.092
2019/6/4,237.5,238,233,233,-5,-2.15,24443.428
2019/6/5,238,238,234,235,2,0.85,35901.584
2019/6/6,231.5,232,229.5,232,-3,-1.29,34651.731
2019/6/10,237.5,240,234.5,240,8,3.33,35521.888
2019/6/11,240,246,239,244.5,4.5,1.84,34691.67
2019/6/12,244.5,247.5,243,246,1.5,0.61,30409.556
2019/6/13,242.5,244,240,240,-6,-2.5,33731.724
2019/6/14,238.5,239.5,236,236,-4,-1.69,35403.556
2019/6/17,231.5,235,230.5,233,-3,-1.29,51692.012
2019/6/18,234,235.5,233,235.5,2.5,1.06,28798.087
2019/6/19,242.5,244,240.5,244,8.5,3.48,50234.372
2019/6/20,242,245.5,241,245,1,0.41,39717.291
2019/6/21,248,248.5,246,248.5,3.5,1.41,62136.304
2019/6/24,241,242,240,241,-7.5,-3.11,43460.507
2019/6/25,241,241.5,237,238.5,-2.5,-1.05,29735.283
2019/6/26,235,236.5,234,234.5,-4,-1.71,28770.041
2019/6/27,236,241.5,236,240.5,6,2.49,42007.834
2019/6/28,241.5,241.5,238,239,-1.5,-0.63,28085.212
2019/7/1,245.5,250,245,248.5,9.5,3.82,66370.875
2019/7/2,249.5,250,247.5,249,0.5,0.2,26832.202
2019/7/3,244,245,242,242.5,-6.5,-2.68,29549.774
2019/7/4,244.5,245,242.5,244,1.5,0.61,18691.24
2019/7/5,244.5,245,241.5,243,-1,-0.41,27317.074
2019/7/8,240,244.5,240,242.5,-0.5,-0.21,29190.909
2019/7/9,241.5,243,240.5,242,-0.5,-0.21,16538.987
2019/7/10,243,247,243,247,5,2.02,23812.131
2019/7/11,250,250,247.5,250,3,1.2,31296.289
2019/7/12,252,252,249.5,250.5,0.5,0.2,23868.432
2019/7/15,251,254.5,249.5,254.5,4,1.57,34264.3
2019/7/16,254,256.5,253.5,256,1.5,0.59,26141.249
2019/7/17,254,254,251,252,-4,-1.59,34346.648
2019/7/18,252,254.5,251.5,254,2,0.79,20908.575
2019/7/19,259.5,261,259,259,5,1.93,59879.798
2019/7/22,263,264,262,264,5,1.89,31863.639
2019/7/23,265.5,266.5,262.5,264,0,0,29273.223
2019/7/24,266.5,266.5,263,265,1,0.38,24511.039
2019/7/25,264,265,261.5,265,0,0,30698.545
2019/7/26,261,262.5,261,261,-4,-1.53,20768.071
2019/7/29,260,262,259.5,261,0,0,18473.32
2019/7/30,262.5,263,260,260,-1,-0.38,22895.612
2019/7/31,260,260,257,259.5,-0.5,-0.19,36365.601
2019/8/1,257.5,257.5,255.5,256.5,-3,-1.17,30107.526
2019/8/2,252,253.5,250.5,251.5,-5,-1.99,54165.644
2019/8/5,251,252,245.5,246.5,-5,-2.03,52835.721
2019/8/6,240,250,240,248.5,2,0.8,58916.879
2019/8/7,250,250.5,246.5,248,-0.5,-0.2,29435.46
2019/8/8,248,254,248,253.5,5.5,2.17,30140.266
2019/8/12,254.5,254.5,251,251,-2.5,-1,24732.603
2019/8/13,249,249.5,246.5,246.5,-4.5,-1.83,25045.107
2019/8/14,252.5,254,249.5,249.5,3,1.2,36336.703
2019/8/15,247,248.5,246,248,-1.5,-0.6,28277.412
2019/8/16,249.5,252,248,250,2,0.8,25696.715
2019/8/19,251.5,253,250.5,252,2,0.79,25098.514
2019/8/20,254,254.5,252.5,254.5,2.5,0.98,20620.494
2019/8/21,254.5,255,253,254.5,0,0,20269.296
2019/8/22,257,257.5,254,254,-0.5,-0.2,22136.84
2019/8/23,253.5,254.5,253,254,0,0,14772.877
2019/8/26,249,250.5,248.5,248.5,-5.5,-2.21,31740.62
2019/8/27,250.5,251,248.5,250,1.5,0.6,53664.951
2019/8/28,250.5,253,250.5,252,2,0.79,15280.882
2019/8/29,253,254,251,254,2,0.79,20085.767
2019/8/30,256.5,259,256,259,5,1.93,35299.201
2019/9/2,258,258,256,257.5,-1.5,-0.58,14776.854
2019/9/3,256.5,258,253,254,-3.5,-1.38,26086.495
2019/9/4,254,258,254,257.5,3.5,1.36,23697.733
2019/9/5,263,263,260.5,263,5.5,2.09,49041.728
2019/9/6,265,265,263,263.5,0.5,0.19,26609.515
2019/9/9,265.5,266,263.5,265,1.5,0.57,17317.833
2019/9/10,263.5,264,260.5,261.5,-3.5,-1.34,30019.866
2019/9/11,264,264.5,260.5,263,1.5,0.57,36266.015
2019/9/12,265,265,261.5,262.5,-0.5,-0.19,38792.293
2019/9/16,262,265.5,261.5,265.5,3,1.13,38913.966
2019/9/17,266.5,266.5,264.5,265,-0.5,-0.19,30069.844
2019/9/18,267,269.5,266.5,267,2,0.75,51360.759
2019/9/19,268,268,264,265,-2,-0.75,27165.567
2019/9/20,266,266.5,264,264,-1,-0.38,44555.865
2019/9/23,264,264,263,264,0,0,14220.208
2019/9/24,263.5,265.5,262,265,1,0.38,24304.943
2019/9/25,262.5,266,262,266,1,0.38,23244.163
2019/9/26,269,269.5,266.5,268,2,0.75,34128.103
2019/9/27,271.5,272.5,271,272,4,1.47,44242.817
2019/10/1,273,280.5,273,280,8,2.86,75248.89
2019/10/2,280,281,279,279.5,-0.5,-0.18,30572.953
2019/10/3,274,277.5,274,276.5,-3,-1.08,35874.864
2019/10/4,279.5,280,275,276.5,0,0,35814.613
2019/10/7,279,279.5,277.5,278,1.5,0.54,17750.23
2019/10/8,283.5,286.5,282.5,286.5,8.5,2.97,39868.551
2019/10/9,283.5,286,282,282,-4.5,-1.6,34895.456
2019/10/14,291.5,291.5,288.5,290,8,2.76,53403.517
2019/10/15,293.5,296,292,293.5,3.5,1.19,54754.83
2019/10/16,298,298,293.5,296.5,3,1.01,42917.144
2019/10/17,295,295.5,292,293.5,-3,-1.02,41920.938
2019/10/18,293,295.5,291,293,-0.5,-0.17,45460.984
2019/10/21,291,291,288.5,290,-3,-1.03,35860.365
2019/10/22,292.5,294,291.5,294,4,1.36,26525.02
2019/10/23,293.5,293.5,290.5,293,-1,-0.34,30382.408
2019/10/24,294.5,294.5,291,293,0,0,29040.827
2019/10/25,294.5,294.5,292.5,293.5,0.5,0.17,25082.711
2019/10/28,295,295.5,294,294.5,1,0.34,20216.561
2019/10/29,297,298.5,296.5,298.5,4,1.34,37130.131
2019/10/30,298.5,299.5,296.5,299.5,1,0.33,32370.342
2019/10/31,300,301.5,298.5,298.5,-1,-0.34,43123.514
2019/11/1,299.5,299.5,296.5,299,0.5,0.17,30216.678
2019/11/4,302.5,308,301,307,8,2.61,45155.671
2019/11/5,307.5,310.5,307,310.5,3.5,1.13,32253.184
2019/11/6,309,311.5,308,311,0.5,0.16,22149.743
2019/11/7,310,310,306.5,309,-2,-0.65,28453.659
2019/11/8,308.5,309,305.5,305.5,-3.5,-1.15,26230.542
2019/11/11,305,305,300,301,-4.5,-1.5,35285.583
2019/11/12,302.5,305,302,305,4,1.31,19016.708
2019/11/13,303,304,301.5,304,-1,-0.33,18422.438
2019/11/14,304.5,305,302,303.5,-0.5,-0.16,15734.835
2019/11/15,305.5,307.5,304.5,307,3.5,1.14,29038.445
2019/11/18,308.5,311,307,311,4,1.29,18741.325
2019/11/19,312.5,315,311,315,4,1.27,33096.197
2019/11/20,314,314,312,313.5,-1.5,-0.48,24538.973
2019/11/21,309.5,311,307,311,-2.5,-0.8,30163.833
2019/11/22,310,310.5,308,309,-2,-0.65,26492.984
2019/11/25,310.5,310.5,307,307,-2,-0.65,19855.177
2019/11/26,310,310.5,307,307,0,0,101916.622
2019/11/27,307.5,311.5,307.5,311,4,1.29,18527.648
2019/11/28,310,312,308.5,309.5,-1.5,-0.48,19718.982
2019/11/29,309,309.5,305,305,-4.5,-1.48,32423.561
2019/12/2,307,308,306.5,307.5,2.5,0.81,25516.807
2019/12/3,305,307,305,307,-0.5,-0.16,27686.319
2019/12/4,305,306,304,306,-1,-0.33,34911.686
2019/12/5,309,312,309,312,6,1.92,39349.842
2019/12/6,315,316,311,313,1,0.32,18402.703
2019/12/9,314,316.5,314,316,3,0.95,23556.081
2019/12/10,315,315.5,312.5,313.5,-2.5,-0.8,20847.594
2019/12/11,314,319,313,319,5.5,1.72,34329.148
2019/12/12,325,334.5,324,331.5,12.5,3.77,52801.851
2019/12/13,340,343,338,339,7.5,2.21,60843.939
2019/12/16,336.5,338.5,336,336,-3,-0.89,48340.188
2019/12/17,335,345,335,345,9,2.61,41428.458
2019/12/18,341.5,345,341.5,344.5,-0.5,-0.15,42486.841
2019/12/19,340,342,335,335,-9.5,-2.84,55667.012
2019/12/20,332,333,328.5,329,-6,-1.82,86280.459
2019/12/23,329.5,334,329.5,334,5,1.5,26911.34
2019/12/24,334,334.5,332,332,-2,-0.6,13783.907
2019/12/25,332,334.5,331,333,1,0.3,12262.954
2019/12/26,333,334,331.5,333,0,0,11427.884
2019/12/27,335,338,335,338,5,1.48,16677.806
2019/12/30,338,339,334,334.5,-3.5,-1.05,21591.263
2019/12/31,331,333.5,331,331,-3.5,-1.06,22950.517
2020/1/2,332.5,339,332.5,339,8,2.36,33282.12
2020/1/3,344,345,335.5,339.5,0.5,0.15,42023.268
2020/1/6,333,334.5,332,332,-7.5,-2.26,45677.057
2020/1/7,332.5,333,326.5,329.5,-2.5,-0.76,51746.181
2020/1/8,325,333,325,329.5,0,0,37913.748
2020/1/9,335,337.5,333.5,337.5,8,2.37,32397.504
2020/1/10,340.5,341,336,339.5,2,0.59,27880.115
2020/1/13,342,342,339,341.5,2,0.59,30663.332
2020/1/14,345.5,346,344.5,346,4.5,1.3,30368.993
2020/1/15,345,345,337.5,340,-6,-1.76,54575.274
2020/1/16,330,336.5,330,334.5,-5.5,-1.64,58217.42
2020/1/17,334,335.5,332,333,-1.5,-0.45,53908.097
2020/1/20,334,335.5,333,333,0,0,35551.203
2020/1/30,326,326,316.5,316.5,-16.5,-5.21,126820.049
2020/1/31,323,323.5,319,320,3.5,1.09,62912.055
2020/2/3,315,316.5,312,315,-5,-1.59,59711.849
2020/2/4,319,326,318,325,10,3.08,52208.496
2020/2/5,329,329.5,324.5,327.5,2.5,0.76,36601.453
2020/2/6,329.5,332.5,329,332.5,5,1.5,29659.094
2020/2/7,330,330.5,326,328,-4.5,-1.37,30055.327
2020/2/10,321.5,328,321,327.5,-0.5,-0.15,30814.424
2020/2/11,330.5,332.5,330,331.5,4,1.21,29062.935
2020/2/12,333.5,336,333,335,3.5,1.04,37612.639
2020/2/13,338,338,335,335,0,0,23217.021
2020/2/14,337,337,334.5,335,0,0,18326.683
2020/2/17,331.5,333,330.5,331.5,-3.5,-1.06,16145.079
2020/2/18,324.5,326.5,322,322,-9.5,-2.95,64662.604
2020/2/19,322.5,327,322,326.5,4.5,1.38,48856.218
2020/2/20,328,329,325,325.5,-1,-0.31,27061.736
2020/2/21,325.5,326.5,323,325,-0.5,-0.15,22974.534
2020/2/24,319.5,321.5,319.5,320,-5,-1.56,42946.68
2020/2/25,320,323.5,317.5,322,2,0.62,38674.011
2020/2/26,317,320.5,316.5,318.5,-3.5,-1.1,60768.362
2020/2/27,319,320,315,316,-2.5,-0.79,62401.927
2020/3/2,308,317,308,311,-5,-1.61,86372.942
2020/3/3,318.5,320,316,317.5,6.5,2.05,55169.411
2020/3/4,322,322,317,320.5,3,0.94,44745.146
2020/3/5,325,326,323,323,2.5,0.77,38223.525
2020/3/6,320,320.5,315,315,-8,-2.54,52807.76
2020/3/9,307.5,310,305.5,305.5,-9.5,-3.11,88633.277
2020/3/10,301.5,309,301,307,1.5,0.49,74869.13
2020/3/11,309,310.5,302,302,-5,-1.66,64923.71
2020/3/12,299,299,287,294,-8,-2.72,114173.351
2020/3/13,275,294,272.5,290,-4,-1.38,151268.148
2020/3/16,285,291,275.5,276.5,-13.5,-4.88,103933.228
2020/3/17,265,276.5,265,268,-8.5,-3.17,122409.651
2020/3/18,269.5,272.5,260,260,-8,-3.08,118620.643
2020/3/19,252,253,235.5,248,-12,-4.84,160811.697
2020/3/20,258.5,270,256,270,22,8.15,159179.726
2020/3/23,257,262.5,252,255,-15,-5.88,76963.709
2020/3/24,268,274,266,267.5,12.5,4.67,82377.933
2020/3/25,276.5,280,274,277,9.5,3.43,80514.199
2020/3/26,279.5,280,275.5,280,3,1.07,54189.633
2020/3/27,284,286,273,273,-7,-2.56,69320.306
2020/3/30,263.5,269,262.5,267.5,-5.5,-2.06,53403.956
2020/3/31,273,274,269.5,274,6.5,2.37,53901.923
2020/4/1,276.5,276.5,271.5,271.5,-2.5,-0.92,47572.034
2020/4/6,273,275.5,270,275.5,4,1.45,59712.754
2020/4/7,283.5,284,280.5,283,7.5,2.65,48887.346
2020/4/8,285,285.5,283,285,2,0.7,38698.826
2020/4/9,287.5,288,282.5,283,-2,-0.71,29276.43
2020/4/10,280,282,279,279.5,-3.5,-1.25,28206.858
2020/4/13,278.5,281.5,278.5,278.5,-1,-0.36,22196.596
2020/4/14,281,285.5,280,285,6.5,2.28,50196.688
2020/4/15,287,288.5,286,287.5,2.5,0.87,58561.434
2020/4/16,283,288.5,283,286.5,-1,-0.35,48257.28
2020/4/17,303.5,308.5,300.5,306.5,20,6.53,117447.201
2020/4/20,308,309,302.5,304,-2.5,-0.82,44586.86
2020/4/21,300.5,301.5,293.5,295,-9,-3.05,61949.357
2020/4/22,294.5,295,290.5,294,-1,-0.34,43568.58
2020/4/23,300,300,294,295.5,1.5,0.51,39977.278
2020/4/24,295.5,297,294,294,-1.5,-0.51,26465.09
2020/4/27,298,298.5,296,298,4,1.34,38493.406
2020/4/28,298.5,298.5,294.5,296.5,-1.5,-0.51,37621.165
2020/4/29,299,301.5,298,299,2.5,0.84,46253.301
2020/4/30,302,305,301.5,304.5,5.5,1.81,58439.085
2020/5/4,294.5,296.5,294,295,-9.5,-3.22,72252.861
2020/5/5,296.5,298,295,295.5,0.5,0.17,23988.405
2020/5/6,294.5,296,292.5,296,0.5,0.17,35704.479
2020/5/7,294.5,299,294.5,297.5,1.5,0.5,28017.198
2020/5/8,300,300,296,297.5,0,0,35613.893
2020/5/11,300,301.5,298.5,300.5,3,1,25200
